# vehicleID, maxLat, minLat, maxLong, minLong
1026661,35.569632,35.495664,-94.848694,-94.955908
1026662,39.379374,39.344998,-84.412406,-84.823056
1026666,40.479789,40.42463,-80.064867,-80.116107
1026671,33.27127,33.219752,-116.306315,-116.579509
1026679,30.777859,30.715692,-98.019425,-98.086458
1026683,42.471722,42.440923,-96.325863,-98.313221
1026698,43.49117,43.439309,-85.185025,-85.272799
1026726,41.869597,41.781074,-103.469296,-103.547495
1026734,34.730337,34.678114,-89.906138,-89.970252
1026746,40.955884,40.880994,-80.081572,-80.145126
1026749,37.803783,37.749682,-111.575935,-111.622051
1026764,35.251656,35.214902,-88.31415,-88.381806
1026774,39.456712,39.426203,-77.527603,-77.810181
1026780,39.570389,39.456496,-75.650544,-75.885991
1026801,33.667686,33.625545,-84.31905,-84.358709
1026805,39.988376,39.919516,-76.673847,-76.757807
1026814,38.585693,38.545853,-93.504438,-93.632677
1026823,37.940063,37.882024,-83.261401,-83.307218
1026828,39.875546,39.840788,-75.188029,-75.254614
1026832,38.977728,38.930615,-77.092357,-77.185997
1026852,40.385406,40.330509,-76.917423,-76.957654
1026856,45.326518,45.279415,-122.308064,-122.509669
1026860,40.490596,40.434238,-84.547087,-84.640883
1026865,37.497852,37.462312,-97.614116,-97.658251
1026868,40.88138,40.823145,-73.501105,-73.545101
1026872,37.641051,37.586588,-75.665834,-75.724398
1026879,41.013831,40.963656,-74.079383,-74.121373
1026885,44.005428,43.957565,-84.44087,-84.48931
1026886,35.125387,35.070871,-91.095612,-91.127409
1026904,35.162883,35.108373,-76.734905,-76.794481
1026907,47.651581,47.612252,-114.631023,-114.701078
1026909,41.681721,41.639684,-85.918441,-85.982456
1026910,29.637599,29.596425,-97.97194,-98.223241
1026911,38.771714,38.716105,-90.288369,-90.369408
1026931,38.726824,38.690884,-87.473171,-87.605361
1026939,41.132611,41.069553,-124.093736,-124.155993
1026944,29.013281,28.944073,-81.280004,-81.331989
1026955,35.940705,35.871086,-83.431161,-83.600844
1026956,36.834898,36.787875,-82.894197,-82.975862
1026962,31.222043,31.181847,-85.214387,-85.241408
1026966,30.028397,29.957466,-93.93632,-94.159993
1026971,38.572846,38.514832,-93.316393,-93.380049
1026974,47.389522,47.344058,-119.496356,-119.552352
1026976,39.819131,39.718509,-82.269833,-82.337852
1026979,34.388519,34.326376,-110.211914,-110.272394
1026984,30.408428,30.37702,-89.71006,-89.78246
1026986,28.13558,28.079593,-81.797599,-81.831079
1027010,37.793386,37.73543,-88.505817,-88.575128
1027011,38.609904,38.51616,-77.13404,-77.245648
1027030,37.178053,37.12435,-92.908147,-92.954299
1027036,38.773433,38.661003,-88.49272,-88.574645
1027050,37.707146,37.612462,-113.615663,-113.660763
1027064,40.734616,40.696732,-75.169926,-75.235553
1027075,42.529789,42.445739,-84.645148,-85.944546
1027079,46.786011,46.726927,-122.120237,-122.187999
1027095,39.562955,39.502658,-119.977375,-120.308213
1027099,46.18285,46.149195,-98.37682,-98.455825
1027101,30.940108,30.888299,-87.023904,-87.121533
1027106,32.04665,32.018444,-88.660069,-88.722149
1027113,40.607739,40.567063,-73.629851,-73.676355
1027117,38.819038,38.756722,-123.460516,-123.60165
1027132,39.947942,39.900623,-74.90993,-75.016291
